"","site","Survey","date","year","plot","sp","sp2","wdt_1"
"252","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",38
"253","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",43
"254","Heathy Spur 2","1990s","30/3/1995",1990,30,"Acrothamnus montanus","Acrothamnus",50
"255","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",12
"256","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",19
"257","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",20
"258","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",24
"259","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",30
"260","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",41
"261","Heathy Spur 2","1990s","30/3/1995",1990,31,"Acrothamnus montanus","Acrothamnus",48
"262","Heathy Spur 2","1990s","30/3/1995",1990,33,"Acrothamnus montanus","Acrothamnus",30
"263","Heathy Spur 2","1990s","30/3/1995",1990,33,"Acrothamnus montanus","Acrothamnus",80
"264","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",1
"265","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",1
"266","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",2
"267","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",2
"268","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",7
"269","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",13
"270","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",44
"271","Heathy Spur 2","1990s","30/3/1995",1990,34,"Acrothamnus montanus","Acrothamnus",70
